jaspar_matrix	jaspar_id	uniprot_id
MA1112.2	NR4A1	P22736
MA1113.2	PBX2	P40425
MA1114.1	PBX3	P40426
MA1115.1	POU5F1	Q01860
MA1116.1	RBPJ	Q06330
MA1117.1	RELB	Q01201
MA1118.1	SIX1	Q15475
MA1119.1	SIX2	Q9NPC8
MA1120.1	SOX13	Q9UN79
MA1121.1	TEAD2	Q15562
MA1122.1	TFDP1	Q14186
MA1123.2	TWIST1	Q15672
MA1124.1	ZNF24	P17028
MA1125.1	ZNF384	Q8TF68
MA1126.1	FOS::JUN(var.2)	P01100
MA1126.1	FOS::JUN(var.2)	P05412
MA1127.1	FOSB::JUN	P53539
MA1127.1	FOSB::JUN	P05412
MA1128.1	FOSL1::JUN	P15407
MA1128.1	FOSL1::JUN	P05412
MA1129.1	FOSL1::JUN(var.2)	P15407
MA1129.1	FOSL1::JUN(var.2)	P05412
MA1130.1	FOSL2::JUN	P15408
MA1130.1	FOSL2::JUN	P05412
MA1131.1	FOSL2::JUN(var.2)	P15408
MA1131.1	FOSL2::JUN(var.2)	P05412
MA1132.1	JUN::JUNB	P05412
MA1132.1	JUN::JUNB	P17275
MA1133.1	JUN::JUNB(var.2)	P05412
MA1133.1	JUN::JUNB(var.2)	P17275
MA1134.1	FOS::JUNB	P01100
MA1134.1	FOS::JUNB	P17275
MA1135.1	FOSB::JUNB	P53539
MA1135.1	FOSB::JUNB	P17275
MA1136.1	FOSB::JUNB(var.2)	P53539
MA1136.1	FOSB::JUNB(var.2)	P17275
MA1137.1	FOSL1::JUNB	P15407
MA1137.1	FOSL1::JUNB	P17275
MA1138.1	FOSL2::JUNB	P15408
MA1138.1	FOSL2::JUNB	P17275
MA1139.1	FOSL2::JUNB(var.2)	P15408
MA1139.1	FOSL2::JUNB(var.2)	P17275
MA1140.2	JUNB(var.2)	P17275
MA1141.1	FOS::JUND	P01100
MA1141.1	FOS::JUND	P17535
MA1142.1	FOSL1::JUND	P15407
MA1142.1	FOSL1::JUND	P17535
MA1143.1	FOSL1::JUND(var.2)	P15407
MA1143.1	FOSL1::JUND(var.2)	P17535
MA1144.1	FOSL2::JUND	P15408
MA1144.1	FOSL2::JUND	P17535
MA1145.1	FOSL2::JUND(var.2)	P15408
MA1145.1	FOSL2::JUND(var.2)	P17535
MA1146.1	NR1H4::RXRA	Q96RI1
MA1146.1	NR1H4::RXRA	P19793
MA1147.1	NR4A2::RXRA	P43354
MA1147.1	NR4A2::RXRA	P19793
MA1148.1	PPARA::RXRA	Q07869
MA1148.1	PPARA::RXRA	P19793
MA1149.1	RARA::RXRG	P10276
MA1149.1	RARA::RXRG	P48443
MA1150.1	RORB	Q92753
MA1151.1	RORC	P51449
MA1152.1	SOX15	O60248
MA1153.1	Smad4	P97471
MA1154.1	ZNF282	Q9UDV7
MA1155.1	ZSCAN4	Q8NAM6
MA1418.1	IRF3	Q14653
MA1419.1	IRF4	Q15306
MA1420.1	IRF5	Q13568
MA1421.1	TCF7L1	Q9HCS4
MA1463.1	ARGFX	A6NJG6
