jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA0686.1	SPDEF	O95238	SPDEF
MA0687.1	SPIC	Q8N5J4	SPIC
MA0688.1	TBX2	Q13207	TBX2
MA0689.1	TBX20	Q9UMR3	TBX20
MA0690.1	TBX21	Q9UL17	TBX21
MA0691.1	TFAP4	Q01664	TFAP4
MA0692.1	TFEB	P19484	TFEB
MA0693.2	VDR	P11473	VDR
MA0694.1	ZBTB7B	O15156	ZBTB7B
MA0695.1	ZBTB7C	A1YPR0	ZBTB7C
MA0696.1	ZIC1	Q15915	ZIC1
MA0697.1	ZIC3	O60481	ZIC3
MA0698.1	ZBTB18	Q99592	ZBTB18
MA0699.1	LBX2	Q6XYB7	LBX2
MA0700.2	LHX2	P50458	LHX2
MA0701.2	LHX9	Q9NQ69	LHX9
MA0702.2	LMX1A	Q8TE12	LMX1A
MA0703.2	LMX1B	O60663	LMX1B
MA0704.1	Lhx4	P53776	Lhx4
MA0705.1	Lhx8	O35652	Lhx8
MA0706.1	MEOX2	Q6FHY5	MEOX2
MA0707.1	MNX1	P50219	MNX1
MA0708.1	MSX2	P35548	MSX2
MA0709.1	Msx3	P70354	Msx3
MA0710.1	NOTO	A8MTQ0	NOTO
MA0711.1	OTX1	P32242	OTX1
MA0712.2	OTX2	P32243	OTX2
MA0713.1	PHOX2A	O14813	PHOX2A
MA0714.1	PITX3	O75364	PITX3
MA0715.1	PROP1	O75360	PROP1
MA0716.1	PRRX1	P54821	PRRX1
MA0717.1	RAX2	Q96IS3	RAX2
MA0718.1	RAX	Q9Y2V3	RAX
MA0719.1	RHOXF1	Q8NHV9	RHOXF1
MA0720.1	Shox2	P70390	Shox2
MA0721.1	UNCX	A6NJT0	UNCX
MA0722.1	VAX1	Q5SQQ9	VAX1
MA0723.1	VAX2	Q9UIW0	VAX2
MA0724.1	VENTX	O95231	VENTX
MA0725.1	VSX1	Q9NZR4	VSX1
MA0726.1	VSX2	P58304	VSX2
MA0727.1	NR3C2	P08235	NR3C2
MA0728.1	Nr2f6(var.2)	P43136	Nr2f6
MA0729.1	RARA	P10276	RARA
MA0730.1	RARA(var.2)	P10276	RARA
MA0731.1	BCL6B	A8KA13	BCL6B
MA0732.1	EGR3	Q06889	EGR3
MA0733.1	EGR4	Q05215	EGR4
MA0734.2	GLI2	P10070	GLI2
MA0735.1	GLIS1	Q8NBF1	GLIS1
MA0736.1	GLIS2	Q9BZE0	GLIS2
MA0737.1	GLIS3	Q8NEA6	GLIS3
MA0738.1	HIC2	Q96JB3	HIC2
MA0739.1	Hic1	Q9R1Y5	Hic1
MA0740.1	KLF14	Q8TD94	KLF14
MA0741.1	KLF16	Q9BXK1	KLF16
MA0742.1	Klf12	O35738	Klf12
MA0743.2	SCRT1	Q9BWW7	SCRT1
MA0744.2	SCRT2	Q9NQ03	SCRT2
MA0745.2	SNAI2	O43623	SNAI2
MA0746.2	SP3	Q02447	SP3
MA0747.1	SP8	Q8IXZ3	SP8
MA0748.2	YY2	O15391	YY2
MA0749.1	ZBED1	O96006	ZBED1
MA0750.2	ZBTB7A	O95365	ZBTB7A
MA0751.1	ZIC4	Q8N9L1	ZIC4
MA0752.1	ZNF410	Q86VK4	ZNF410
MA0753.2	ZNF740	Q8NDX6	ZNF740
MA0754.1	CUX1	P39880	CUX1
MA0755.1	CUX2	O14529	CUX2
MA0756.1	ONECUT2	O95948	ONECUT2
MA0757.1	ONECUT3	O60422	ONECUT3
MA0758.1	E2F7	Q96AV8	E2F7
MA0759.1	ELK3	P41970	ELK3
MA0760.1	ERF	P50548	ERF
MA0761.2	ETV1	P50549	ETV1
MA0762.1	ETV2	Q3KNT2	ETV2
MA0763.1	ETV3	P41162	ETV3
MA0764.2	ETV4	P43268	ETV4
MA0765.2	ETV5	P41161	ETV5
